# Accelerometer Data File
# Started @Fri Sep 02 07:10:52 GMT-03:00 2016
#
#
# sensor Vendor: Invensense
# sensor Name: MPU6500 Acceleration Sensor
# sensor Resolution: 5.985504E-4m/sec^2; Max Range: 19.6133; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.536 0.837 9.729 5
-0.531 0.765 9.638 4
-0.689 0.746 9.791 6
-0.588 0.626 9.873 5
-0.397 0.655 9.949 4
-0.378 0.626 9.739 5
-0.263 0.693 9.758 5
-0.129 0.473 9.767 6
-0.234 -0.058 9.681 4
-0.215 -0.546 9.638 5
-0.124 -1.063 9.839 5
-0.258 -1.48 9.719 5
-0.268 -1.604 9.829 5
-0.445 -1.312 9.81 5
-0.445 -0.647 9.767 5
-0.55 0.037 9.7 5
-0.536 0.995 9.662 5
-0.454 1.411 9.925 5
-0.43 1.464 9.81 5
-0.339 1.004 9.844 5
-0.296 0.181 9.853 5
-0.22 -0.647 9.825 4
-0.272 -1.236 9.791 5
-0.162 -1.59 9.739 5
-0.248 -1.441 9.753 5
-0.153 -1.13 9.7 5
-0.205 -0.618 9.719 5
-0.373 -0.038 9.825 5
-0.402 0.329 9.705 5
-0.474 0.487 9.686 5
-0.608 0.607 9.973 5
-0.531 0.55 9.92 5
-0.541 0.641 9.906 5
-0.344 0.698 9.849 5
-0.32 0.799 9.739 5
-0.153 0.784 9.724 5
-0.067 0.645 9.753 5
-0.129 0.281 9.724 5
-0.071 -0.34 9.911 5
-0.143 -0.738 9.777 5
-0.335 -1.092 9.791 4
-0.478 -1.015 9.911 5
-0.531 -0.57 9.93 5
-0.545 0.195 9.753 6
-0.526 1.052 9.758 4
-0.545 1.541 9.887 5
-0.512 1.909 9.801 5
-0.363 1.785 9.911 5
-0.344 1.11 9.719 5
-0.306 0.334 9.81 5
-0.306 -0.517 9.739 5
-0.172 -1.111 9.863 5
-0.162 -1.331 9.777 5
-0.081 -1.125 9.729 5
-0.253 -0.795 9.82 4
-0.306 -0.388 9.686 6
-0.43 0.032 9.633 4
-0.474 0.133 9.897 5
-0.502 0.138 9.81 5
-0.579 0.262 9.887 6
-0.656 0.2 9.82 4
-0.536 0.123 9.739 5
-0.421 0.439 9.758 5
-0.287 0.315 9.686 5
-0.143 0.214 9.705 5
-0.124 -0.062 9.844 5
-0.138 -0.498 9.724 5
-3.476 1.886 10.347 5
-0.507 -5.176 9.202 5
2.193 -4.698 11.798 5
-1.632 -2.931 9.466 5
1.149 -4.094 9.015 5
0.287 -1.465 9.782 4
-0.928 1.996 9.715 5
-0.258 3.753 9.786 5
0.009 4.385 9.446 5
-1.244 5.324 9.968 5
-0.885 3.552 9.825 5
-0.622 1.627 9.719 5
-0.952 1.038 10.208 6
-0.78 0.21 10.256 4
0.119 -0.407 9.762 5
-0.335 0.612 9.298 5
0.22 0.574 9.585 5
0.579 0.32 10.074 5
-0.162 0.162 9.997 5
0.071 -0.532 9.485 5
-0.105 -1.331 9.217 5
-0.565 -1.015 9.758 5
-0.799 -0.489 10.184 5
-0.454 0.463 9.973 5
-0.761 2.125 9.762 5
-0.694 3.542 9.849 5
-0.421 3.576 9.949 4
-0.421 2.532 10.011 5
-0.349 0.794 9.624 6
-0.215 -1.657 9.202 4
-0.134 -3.548 9.671 5
-0.368 -5.028 10.011 5
-0.196 -5.411 10.213 5
0.004 -4.343 9.844 5
-0.282 -2.418 9.609 5
-0.095 -0.69 9.614 5
-0.421 1.153 9.806 5
-0.44 2.187 9.988 5
-0.521 2.0 9.925 4
0.052 0.669 9.853 5
-0.622 0.047 9.892 6
-0.756 -0.934 10.203 4
-0.138 -1.451 9.954 6
-0.263 -1.303 9.485 4
0.263 -0.891 9.375 6
-0.22 -0.623 9.537 4
0.234 -0.45 10.088 5
-0.076 -0.776 10.16 5
-0.21 -1.097 9.71 5
-0.469 -1.283 9.552 5
-0.809 -0.953 9.825 5
-0.684 -0.115 10.213 5
-0.785 1.388 10.021 5
-0.651 3.03 9.753 5
-0.392 4.376 9.748 5
-0.387 5.199 9.954 5
-0.272 4.179 9.935 5
0.004 2.226 9.796 4
0.09 0.277 9.585 5
0.062 -1.729 9.715 5
-0.143 -2.739 10.031 6
-0.09 -2.72 10.102 4
-0.392 -1.848 9.705 5
-0.32 -0.158 9.657 5
-0.435 1.627 9.614 5
-0.569 2.891 9.944 5
-0.588 3.538 9.882 5
-0.713 2.882 9.839 5
-0.569 1.651 9.705 5
-0.694 0.535 9.739 5
-0.186 -0.623 9.954 5
-0.119 -1.159 9.92 5
-0.057 -1.178 9.552 5
0.028 -1.135 9.389 5
0.22 -1.231 9.643 5
-0.172 -1.365 9.997 5
-0.081 -1.896 9.954 5
-0.335 -2.548 9.643 4
-0.656 -2.749 9.6 5
-0.708 -2.696 10.021 5
-0.962 -1.805 10.064 5
-0.723 -0.556 9.988 5
-0.646 0.856 9.705 5
-0.464 2.058 9.806 5
-0.282 2.312 9.925 6
0.028 1.522 9.887 4
-0.033 0.071 9.633 5
0.004 -1.59 9.671 5
-0.009 -2.95 9.762 5
-0.119 -3.615 10.031 4
-0.196 -3.189 9.897 5
-0.282 -2.155 9.719 5
-0.464 -0.512 9.585 6
-0.301 1.186 9.585 4
-0.718 2.853 9.853 6
-0.775 3.274 9.834 4
-0.502 2.91 9.796 5
-0.732 2.307 9.849 5
-0.646 1.306 9.954 5
-0.253 0.602 10.078 5
-0.129 0.425 9.973 6
0.148 0.765 9.552 4
0.239 0.937 9.657 5
-0.153 0.99 9.6 5
0.019 0.775 10.093 5
-0.124 0.267 9.844 5
-0.416 -0.431 9.561 5
-0.445 -0.828 9.595 5
-0.842 -0.647 9.988 5
-0.823 0.143 10.074 5
-0.737 1.287 9.81 4
-0.521 2.412 9.595 5
-0.507 3.274 9.695 6
-0.344 3.164 9.786 4
-0.105 1.909 9.748 5
-0.205 0.171 9.681 5
0.014 -1.662 9.561 5
-0.129 -2.931 9.676 5
-0.119 -3.773 10.002 5
-0.253 -3.539 9.892 5
-0.339 -2.605 9.662 5
-0.363 -1.398 9.528 5
-0.373 -0.086 9.81 5
